2021-12-20 15:23:45:502 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker(PostProcessorRegistrationDelegate.java 376) -Bean 'org.springframework.boot.autoconfigure.data.redis.JedisConnectionConfiguration' of type [org.springframework.boot.autoconfigure.data.redis.JedisConnectionConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-12-20 15:23:45:611 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker(PostProcessorRegistrationDelegate.java 376) -Bean 'redisConnectionFactory' of type [org.springframework.data.redis.connection.jedis.JedisConnectionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-12-20 15:23:45:620 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker(PostProcessorRegistrationDelegate.java 376) -Bean 'redisConfig' of type [com.zookao.admin.config.RedisConfig$$EnhancerBySpringCGLIB$$dcb348c6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-12-20 15:23:45:930 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure(DruidDataSourceAutoConfigure.java 56) -Init DruidDataSource
2021-12-20 15:23:48:421 [main] INFO  com.alibaba.druid.pool.DruidDataSource(DruidDataSource.java 998) -{dataSource-1} inited
2021-12-20 15:23:58:764 [main] INFO  com.zookao.admin.RocketmqTest(StartupInfoLogger.java 61) -Started RocketmqTest in 17.673 seconds (JVM running for 19.425)
2021-12-20 15:24:00:562 [NettyClientSelector_1] INFO  RocketmqRemoting(Slf4jLoggerFactory.java 95) -closeChannel: close the connection to remote address[192.168.56.102:10911] result: true
2021-12-20 15:24:00:564 [NettyClientSelector_1] INFO  RocketmqRemoting(Slf4jLoggerFactory.java 95) -closeChannel: close the connection to remote address[192.168.56.102:9876] result: true
2021-12-20 15:24:00:573 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource(DruidDataSource.java 2071) -{dataSource-1} closing ...
2021-12-20 15:24:00:589 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource(DruidDataSource.java 2144) -{dataSource-1} closed
2021-12-20 15:29:08:093 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper(AbstractTestContextBootstrapper.java 305) -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zookao.admin.RocketmqTest], using SpringBootContextLoader
2021-12-20 15:29:08:103 [main] INFO  o.s.test.context.support.AbstractContextLoader(AbstractContextLoader.java 264) -Could not detect default resource locations for test class [com.zookao.admin.RocketmqTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-12-20 15:29:08:105 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils(AnnotationConfigContextLoaderUtils.java 83) -Could not detect default configuration classes for test class [com.zookao.admin.RocketmqTest]: RocketmqTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-12-20 15:29:08:282 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper(SpringBootTestContextBootstrapper.java 238) -Found @SpringBootConfiguration com.zookao.admin.AdminApplication for test class com.zookao.admin.RocketmqTest
